Agency,SKU,YearMonth,Volume
Agency_22,SKU_01,201301,52.272
Agency_22,SKU_02,201301,110.7
Agency_58,SKU_23,201301,0
Agency_48,SKU_07,201301,28.32
Agency_22,SKU_05,201301,238.5387
Agency_58,SKU_17,201301,0
Agency_31,SKU_01,201301,126.36
Agency_48,SKU_02,201301,475.790396
Agency_40,SKU_04,201301,1.1502
Agency_48,SKU_05,201301,1823.525772
Agency_53,SKU_04,201301,2403.8541
Agency_20,SKU_04,201301,1642.4217
Agency_31,SKU_02,201301,23.868
Agency_31,SKU_05,201301,14.5053
Agency_49,SKU_23,201301,0
Agency_41,SKU_01,201301,4324.104
Agency_13,SKU_01,201301,6269.508
Agency_22,SKU_04,201301,31.0554
Agency_13,SKU_07,201301,7.965
Agency_38,SKU_01,201301,7569.396
Agency_41,SKU_02,201301,3471.768
Agency_31,SKU_04,201301,1421.1999
Agency_38,SKU_07,201301,65.9325
Agency_41,SKU_05,201301,2866.2345
Agency_13,SKU_02,201301,0
Agency_01,SKU_01,201301,80.676
Agency_13,SKU_05,201301,1138.3785
Agency_38,SKU_02,201301,3391.74
Agency_20,SKU_03,201301,315.8118
Agency_48,SKU_04,201301,3539.939558
Agency_01,SKU_02,201301,78.408
Agency_53,SKU_03,201301,249.0624
Agency_38,SKU_05,201301,4335.1038
Agency_40,SKU_03,201301,4.0608
Agency_01,SKU_05,201301,15.975
Agency_40,SKU_18,201301,1.0998
Agency_22,SKU_03,201301,86.4612
Agency_53,SKU_24,201301,0
Agency_51,SKU_01,201301,3384.936
Agency_31,SKU_08,201301,9.2655
Agency_31,SKU_03,201301,527.481
Agency_51,SKU_07,201301,12.8325
Agency_41,SKU_04,201301,1395.3204
Agency_51,SKU_02,201301,3318.516
Agency_13,SKU_04,201301,1812.204
Agency_01,SKU_11,201301,7.668
Agency_20,SKU_23,201301,0
Agency_51,SKU_05,201301,2211.3873
Agency_48,SKU_03,201301,6493.814243
Agency_53,SKU_15,201301,0
Agency_38,SKU_04,201301,2115.2178
Agency_01,SKU_04,201301,230.2956
Agency_41,SKU_03,201301,737.5428
Agency_20,SKU_21,201301,0
Agency_17,SKU_01,201301,79.164
Agency_13,SKU_03,201301,276.219
Agency_17,SKU_02,201301,856.548
Agency_38,SKU_03,201301,2567.9484
Agency_51,SKU_04,201301,3721.536
Agency_17,SKU_05,201301,739.8342
Agency_01,SKU_03,201301,35.955
Agency_48,SKU_23,201301,0
Agency_45,SKU_01,201301,32.616
Agency_48,SKU_17,201301,0
Agency_45,SKU_02,201301,40.5
Agency_38,SKU_14,201301,0
Agency_55,SKU_01,201301,3777.3
Agency_50,SKU_01,201301,1144.8
Agency_45,SKU_05,201301,260.6481
Agency_48,SKU_28,201301,0
Agency_17,SKU_04,201301,340.587
Agency_13,SKU_20,201301,0
Agency_55,SKU_02,201301,824.364
Agency_50,SKU_02,201301,10098.432
Agency_45,SKU_04,201301,185.7573
Agency_51,SKU_03,201301,3513.3534
Agency_55,SKU_05,201301,201.0294
Agency_50,SKU_05,201301,4190.562
Agency_07,SKU_01,201301,6841.044
Agency_17,SKU_03,201301,12.0978
Agency_33,SKU_04,201301,0.7029
Agency_38,SKU_21,201301,0
Agency_45,SKU_08,201301,8.5626
Agency_45,SKU_03,201301,33.9246
Agency_10,SKU_01,201301,2767.5
Agency_07,SKU_02,201301,514.512
Agency_07,SKU_05,201301,94.2525
Agency_08,SKU_01,201301,128.304
Agency_55,SKU_04,201301,1958.5989
Agency_50,SKU_04,201301,1871.0559
Agency_10,SKU_02,201301,104.436
Agency_10,SKU_05,201301,29.7135
Agency_42,SKU_01,201301,239.652
Agency_08,SKU_02,201301,0
Agency_51,SKU_17,201301,0
Agency_42,SKU_02,201301,175.284
Agency_08,SKU_05,201301,0
Agency_42,SKU_05,201301,476.3106
Agency_33,SKU_03,201301,3.5532
Agency_33,SKU_18,201301,6.345
Agency_42,SKU_04,201301,170.2296
Agency_07,SKU_04,201301,2338.74
Agency_39,SKU_01,201301,2354.832
Agency_08,SKU_04,201301,192.339
Agency_55,SKU_03,201301,3990.2436
Agency_39,SKU_07,201301,2.655
Agency_50,SKU_03,201301,400.2426
Agency_23,SKU_01,201301,42.444
Agency_47,SKU_02,201301,0.432
Agency_23,SKU_02,201301,52.164
Agency_47,SKU_05,201301,0
Agency_07,SKU_21,201301,0
Agency_39,SKU_02,201301,3634.632
Agency_10,SKU_04,201301,1824.0894
Agency_11,SKU_03,201301,74.9556
Agency_23,SKU_05,201301,555.4188
Agency_46,SKU_01,201301,2973.564
Agency_39,SKU_05,201301,6502.9752
Agency_46,SKU_03,201301,1720.5948
Agency_42,SKU_03,201301,567.3276
Agency_47,SKU_04,201301,80.6418
Agency_08,SKU_03,201301,7.5294
Agency_23,SKU_04,201301,24.6015
Agency_46,SKU_02,201301,4123.548
Agency_07,SKU_03,201301,356.6736
Agency_46,SKU_05,201301,4575.7512
Agency_10,SKU_32,201301,111.1221
Agency_30,SKU_01,201301,1131.408
Agency_54,SKU_01,201301,52.488
Agency_30,SKU_02,201301,158.976
Agency_39,SKU_04,201301,1611.0468
Agency_54,SKU_02,201301,27.324
Agency_50,SKU_17,201301,0
Agency_30,SKU_05,201301,223.9695
Agency_23,SKU_03,201301,0
Agency_47,SKU_03,201301,237.5568
Agency_54,SKU_05,201301,61.2162
Agency_46,SKU_17,201301,0
Agency_30,SKU_06,201301,22.356
Agency_46,SKU_04,201301,3925.1853
Agency_32,SKU_01,201301,1747.008
Agency_10,SKU_03,201301,1907.3916
Agency_18,SKU_01,201301,0.54
Agency_54,SKU_04,201301,78.1497
Agency_57,SKU_01,201301,7395.948
Agency_12,SKU_01,201301,9191.772
Agency_34,SKU_22,201301,0.5964
Agency_32,SKU_02,201301,1895.724
Agency_57,SKU_07,201301,126.555
Agency_30,SKU_04,201301,3124.3905
Agency_12,SKU_07,201301,18.585
Agency_32,SKU_05,201301,2476.8918
Agency_47,SKU_01,201301,6.48
Agency_23,SKU_21,201301,0
Agency_59,SKU_01,201301,8203.356
Agency_18,SKU_02,201301,0
Agency_57,SKU_02,201301,2330.748
Agency_12,SKU_02,201301,0.432
Agency_59,SKU_07,201301,10.62
Agency_34,SKU_04,201301,0
Agency_18,SKU_05,201301,375.1569
Agency_47,SKU_17,201301,0
Agency_39,SKU_03,201301,214.5456
Agency_19,SKU_01,201301,0
Agency_57,SKU_05,201301,1837.5084
Agency_12,SKU_05,201301,1618.8426
Agency_19,SKU_02,201301,50.112
Agency_59,SKU_02,201301,1806.732
Agency_19,SKU_05,201301,93.7413
Agency_54,SKU_03,201301,136.5444
Agency_59,SKU_05,201301,1511.1072
Agency_18,SKU_04,201301,174.6387
