YearMonth,Industry_Volume
201301,492612703
201302,431937346
201303,509281531
201304,532390389
201305,551755254
201306,531683569
201307,508376577
201308,532480057
201309,454252482
201310,480693900
201311,434960682
201312,424138427
201401,481364863
201402,425528909
201403,557166363
201404,514349463
201405,574689995
201406,553838801
201407,550644737
201408,522726357
201409,413051813
201410,438831227
201411,484133145
201412,522571730
201501,498567142
201502,417947202
201503,515468092
201504,503173607
201505,572293344
201506,549967070
201507,573927221
201508,573733505
201509,553979958
201510,544203593
201511,561516727
201512,568138672
201601,517389425
201602,532697061
201603,556542731
201604,589172265
201605,555318882
201606,538687923
201607,558020105
201608,668934850
201609,615784543
201610,629490371
201611,608313158
201612,622509370
201701,562154016
201702,530252010
201703,613143990
201704,589969396
201705,628759461
201706,636846973
201707,670015726
201708,623319783
201709,604571152
201710,616747012
201711,592195062
201712,618073219
