Agency,SKU,YearMonth,Price,Sales,Promotions
Agency_01,SKU_01,201301,1141.5,1033.432731,108.067269
Agency_01,SKU_01,201302,1141.5,1065.417195,76.082805
Agency_01,SKU_01,201303,1179.34582,1101.133633,78.212187
Agency_01,SKU_01,201304,1226.6875,1138.283357,88.404143
Agency_01,SKU_01,201305,1230.331104,1148.969634,81.36147
Agency_01,SKU_01,201309,1234.802266,1152.156204,82.646062
Agency_01,SKU_01,201308,1234.828586,1186.746188,48.082398
Agency_01,SKU_01,201306,1234.832064,1144.291368,90.540696
Agency_01,SKU_01,201307,1234.868827,1157.884598,76.984229
Agency_01,SKU_01,201310,1235.169062,1142.945273,92.223789
Agency_01,SKU_01,201401,1235.1875,995.0062437,240.1812563
Agency_01,SKU_01,201311,1235.1875,1133.686722,101.500778
Agency_01,SKU_01,201312,1235.1875,1059.479533,175.707967
Agency_01,SKU_01,201402,1235.1875,1111.858392,123.329108
Agency_01,SKU_01,201403,1235.1875,1108.242181,126.945319
Agency_01,SKU_01,201404,1235.1875,1109.019047,126.168453
Agency_01,SKU_01,201405,1264.2725,1257.19,7.0825
Agency_01,SKU_01,201406,1272.981618,1265.540441,7.441177
Agency_01,SKU_01,201407,1275.48136,1271.486842,3.994518
Agency_01,SKU_01,201408,1285.586058,1239.516347,46.069711
Agency_01,SKU_01,201501,1300.773539,1241.486851,59.286688
Agency_01,SKU_01,201411,1301.595553,1241.66266,59.932893
Agency_01,SKU_01,201412,1301.676949,1224.7179,76.959049
Agency_01,SKU_01,201502,1302.179167,1240.457176,61.721991
Agency_01,SKU_01,201410,1302.55649,1248.267052,54.289438
Agency_01,SKU_01,201503,1302.620523,1181.618015,121.002508
Agency_01,SKU_01,201409,1303.636331,1198.774971,104.86136
Agency_01,SKU_01,201504,1348.404033,1201.805041,146.598992
Agency_01,SKU_01,201505,1366.276385,1202.500495,163.77589
Agency_01,SKU_01,201509,1411.650345,1262.126968,149.523377
Agency_01,SKU_01,201506,1418.3125,1255.38086,162.93164
Agency_01,SKU_01,201508,1425.95824,1284.224495,141.733745
Agency_01,SKU_01,201507,1428.655331,1281.556296,147.099035
Agency_01,SKU_01,201510,1458.924161,1197.06593,261.858231
Agency_01,SKU_01,201511,1460.677702,1216.632416,244.045286
Agency_01,SKU_01,201608,1465.381963,1189.818634,275.563329
Agency_01,SKU_01,201607,1470.199777,1192.165551,278.034226
Agency_01,SKU_01,201512,1474.36102,1275.626096,198.734924
Agency_01,SKU_01,201602,1478.409679,1271.44279,206.966889
Agency_01,SKU_01,201603,1478.920943,1267.291119,211.629824
Agency_01,SKU_01,201601,1479.24208,1269.684057,209.558023
Agency_01,SKU_01,201606,1492.64375,1295.535938,197.107812
Agency_01,SKU_01,201604,1505.730682,1331.532197,174.198485
Agency_01,SKU_01,201605,1521.457746,1337.206426,184.25132
Agency_01,SKU_01,201611,1556.33966,1360.138889,196.200771
Agency_01,SKU_01,201610,1568.092535,1367.609872,200.482663
Agency_01,SKU_01,201609,1570.018624,1359.734867,210.283757
