YearMonth,Agency,Avg_Max_Temp
201301,Agency_01,17.072
201302,Agency_01,19.984
201303,Agency_01,24.6
201304,Agency_01,27.532
201305,Agency_01,29.396
201306,Agency_01,33.556
201307,Agency_01,29.372
201308,Agency_01,29.1
201309,Agency_01,26.888
201310,Agency_01,26.144
201311,Agency_01,19.45769231
201312,Agency_01,17.52272727
201401,Agency_01,19.09230769
201402,Agency_01,23.31923077
201403,Agency_01,23.15
201404,Agency_01,26.56923077
201405,Agency_01,29.43076923
201406,Agency_01,33.39230769
201407,Agency_01,30.03076923
201408,Agency_01,29.7375
201409,Agency_01,28.21666667
201410,Agency_01,28.08846154
201411,Agency_01,20.47692308
201412,Agency_01,19.49615385
201501,Agency_01,16.73448276
201502,Agency_01,20.81666667
201503,Agency_01,20.31290323
201504,Agency_01,24.5
201505,Agency_01,28.14137931
201506,Agency_01,31.2137931
201507,Agency_01,30.27419355
201508,Agency_01,30.62333333
201509,Agency_01,29.46333333
201510,Agency_01,25.6516129
201511,Agency_01,23.25
201512,Agency_01,19.80333333
201601,Agency_01,16.73103448
201602,Agency_01,23.32916667
201603,Agency_01,25.436
201604,Agency_01,27.37083333
201605,Agency_01,30.35925926
201606,Agency_01,32.12285185
201607,Agency_01,31.24375
201608,Agency_01,27.69886957
201609,Agency_01,28.144625
201610,Agency_01,27.936
201611,Agency_01,22.94971429
201612,Agency_01,20.7924041
201701,Agency_01,25.82479696
201702,Agency_01,23.43324882
201703,Agency_01,26.35735671
201704,Agency_01,29.24749309
201705,Agency_01,31.12969186
201706,Agency_01,39.05925926
201707,Agency_01,35.84444444
201708,Agency_01,32.16666667
201709,Agency_01,33.92
201710,Agency_01,32.848
201711,Agency_01,31.532
201712,Agency_01,19.40365464
201301,Agency_02,22.14791667
201302,Agency_02,25.83958333
201303,Agency_02,29.18333333
201304,Agency_02,32.04680851
201305,Agency_02,33.618
201306,Agency_02,36.23414634
201307,Agency_02,32.29069767
201308,Agency_02,32.81860465
201309,Agency_02,29.63902439
201310,Agency_02,30.62093023
201311,Agency_02,24.33809524
201312,Agency_02,22.63414634
201401,Agency_02,22.99285714
201402,Agency_02,28.84146341
201403,Agency_02,28.89534884
201404,Agency_02,32.07906977
201405,Agency_02,33.59069767
201406,Agency_02,35.3
201407,Agency_02,33.405
201408,Agency_02,32.78333333
201409,Agency_02,30.75238095
201410,Agency_02,31.27142857
201411,Agency_02,23.93863636
201412,Agency_02,23.75681818
201501,Agency_02,21.5106383
201502,Agency_02,24.73958333
201503,Agency_02,24.36041667
201504,Agency_02,30.20243902
201505,Agency_02,33.29268293
201506,Agency_02,33.50731707
201507,Agency_02,32.84468085
201508,Agency_02,33.83958333
201509,Agency_02,32.64583333
201510,Agency_02,29.308
201511,Agency_02,28.30697674
201512,Agency_02,23.99583333
201601,Agency_02,20.97346939
201602,Agency_02,27.21463415
201603,Agency_02,29.56097561
201604,Agency_02,31.85853659
201605,Agency_02,34.54418605
201606,Agency_02,35.15365116
201607,Agency_02,34.60209302
201608,Agency_02,30.84587234
201609,Agency_02,30.92944681
201610,Agency_02,31.04255319
201611,Agency_02,27.10338298
201612,Agency_02,25.79143409
201701,Agency_02,29.95963449
201702,Agency_02,28.45498037
201703,Agency_02,29.88486041
201704,Agency_02,33.24868788
201705,Agency_02,35.3276024
201706,Agency_02,39.9425
201707,Agency_02,38.4787234
201708,Agency_02,36.11702128
201709,Agency_02,35.6625
201710,Agency_02,34.34255319
201711,Agency_02,34.89148936
201712,Agency_02,24.04455799
201301,Agency_03,21.20731707
201302,Agency_03,26.465
201303,Agency_03,27.8775
201304,Agency_03,31.1075
201305,Agency_03,32.0875
201306,Agency_03,34.47435897
201307,Agency_03,33.17692308
201308,Agency_03,34.42051282
201309,Agency_03,29.85641026
201310,Agency_03,28.16315789
201311,Agency_03,21.56052632
201312,Agency_03,19.97428571
201401,Agency_03,20.68947368
201402,Agency_03,24.55384615
201403,Agency_03,25.23589744
201404,Agency_03,30.57368421
201405,Agency_03,30.98717949
201406,Agency_03,33.18205128
201407,Agency_03,33.415
201408,Agency_03,34.35
201409,Agency_03,29.6375
201410,Agency_03,29.1902439
201411,Agency_03,21.99782609
201412,Agency_03,21.01395349
201501,Agency_03,18.48571429
201502,Agency_03,21.36153846
201503,Agency_03,22.76538462
201504,Agency_03,28.22307692
201505,Agency_03,30.078
201506,Agency_03,31.11764706
201507,Agency_03,33.39607843
201508,Agency_03,34.352
201509,Agency_03,31.642
201510,Agency_03,28.66607143
201511,Agency_03,24.8
201512,Agency_03,22.87647059
201601,Agency_03,20.33148148
201602,Agency_03,25.83589744
201603,Agency_03,28.76410256
201604,Agency_03,30.39777778
201605,Agency_03,31.60888889
201606,Agency_03,32.76835556
201607,Agency_03,35.422
201608,Agency_03,33.26468889
201609,Agency_03,31.47555556
201610,Agency_03,29.48
201611,Agency_03,24.31315556
201612,Agency_03,22.97465521
201701,Agency_03,28.44819982
201702,Agency_03,28.53662518
201703,Agency_03,28.18110653
201704,Agency_03,31.02908769
201705,Agency_03,32.80243313
201706,Agency_03,40.31818182
201707,Agency_03,37.55777778
201708,Agency_03,37.77777778
201709,Agency_03,37.03333333
201710,Agency_03,33.55333333
201711,Agency_03,33.84545455
201712,Agency_03,21.70984125
201301,Agency_04,21.20731707
201302,Agency_04,26.465
201303,Agency_04,27.8775
201304,Agency_04,31.1075
201305,Agency_04,32.0875
201306,Agency_04,34.47435897
201307,Agency_04,33.17692308
201308,Agency_04,34.42051282
201309,Agency_04,29.85641026
201310,Agency_04,28.16315789
201311,Agency_04,21.56052632
201312,Agency_04,19.97428571
201401,Agency_04,20.68947368
201402,Agency_04,24.55384615
201403,Agency_04,25.23589744
201404,Agency_04,30.57368421
201405,Agency_04,30.98717949
201406,Agency_04,33.18205128
201407,Agency_04,33.415
201408,Agency_04,34.35
201409,Agency_04,29.6375
201410,Agency_04,29.1902439
201411,Agency_04,21.99782609
201412,Agency_04,21.01395349
201501,Agency_04,18.48571429
201502,Agency_04,21.36153846
201503,Agency_04,22.76538462
201504,Agency_04,28.22307692
201505,Agency_04,30.078
201506,Agency_04,31.11764706
201507,Agency_04,33.39607843
201508,Agency_04,34.352
201509,Agency_04,31.642
201510,Agency_04,28.66607143
201511,Agency_04,24.8
201512,Agency_04,22.87647059
201601,Agency_04,20.33148148
201602,Agency_04,25.83589744
201603,Agency_04,28.76410256
201604,Agency_04,30.39777778
201605,Agency_04,31.60888889
201606,Agency_04,32.76835556
201607,Agency_04,35.422
201608,Agency_04,33.26468889
201609,Agency_04,31.47555556
201610,Agency_04,29.48
201611,Agency_04,24.31315556
201612,Agency_04,22.97465521
201701,Agency_04,28.44819982
201702,Agency_04,28.53662518
201703,Agency_04,28.18110653
201704,Agency_04,31.02908769
201705,Agency_04,32.80243313
201706,Agency_04,40.31818182
201707,Agency_04,37.55777778
201708,Agency_04,37.77777778
201709,Agency_04,37.03333333
201710,Agency_04,33.55333333
201711,Agency_04,33.84545455
201712,Agency_04,21.70984125
201301,Agency_05,24.07901235
201302,Agency_05,28.41604938
201303,Agency_05,28.71549296
201304,Agency_05,32.11375
201305,Agency_05,32.57721519
201306,Agency_05,31.72153846
201307,Agency_05,28.653125
201308,Agency_05,29.04354839
201309,Agency_05,27.23442623
201310,Agency_05,28.39836066
201311,Agency_05,25.69677419
201312,Agency_05,24.12419355
201401,Agency_05,24.215
201402,Agency_05,28.66825397
201403,Agency_05,29.7328125
201404,Agency_05,31.975
201405,Agency_05,31.11833333
201406,Agency_05,30.1953125
201407,Agency_05,28.83548387
201408,Agency_05,29.28730159
